"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","Global Trade Item Number","Manufacturer Part Number","Tax Provider Tax Code","Product Custom Fields"
Product,826,"Big Train Dragonfly Green Tea Blended Creme Frappe Mix Five 3.5 lb. Bags",P,20501787,,"Big Train",,Right,"<p><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;""><span>This Big Train beverage mix uses the finest ingredients, including green tea flavoring, in a creamy base that ensures smooth, consistent texture. For an indulgent creamy finish, top with a dollop of whipped cream. This blended mix from Big Train will surely be popular among even the most discerning of green tea lovers!&nbsp;</span></span><br /><br /></p>",152.40,0.00,0.00,0.00,0.0000,N,,19.0000,0.0000,0.0000,0.0000,Y,Y,"Usually Ships in 1 to 2 Business Days",none,0,0,"Brand Names/Big Train;Frappe Mixes/Big Train Coffee Free Frappe Power",3213,o/821/Green_Tea_Front__05567.jpg,"You will be a fan of Big Train’s Green Tea Blended Crème Frappe Mix after your first sip. This Big Train beverage mix uses the finest ingredients, including green tea flavoring, in a creamy base that ensures smooth, consistent texture. For an indulgent creamy finish, top with a dollop of whipped cream. This blended mix from Big Train will surely be popular among even the most discerning of green tea lovers! Serve hot, iced, or blended.",Y,0,3215,o/586/Green_Tea_Back__63078.jpg,,N,1,2437,r/384/BT.656115-3__82329.jpg,"Ingredients: Sugar, Coconut Oil, Corn Syrup Solids, Nonfat Milk, Maltodextrin, Green Tea, Sodium Caseinate (a milk derivative), Natural and Artificial Flavor, Sodium Citrate, Mono- and Diglycerides, Salt, Silicon Dioxide (anti-caking agent), Carrageenan, Guar Gum, Xanthan Gum, Sodium Aluminosilicate (anti-caking agent), Yellow #5, Blue #1.",N,2,2688,t/806/Dragonfly_Green_Tea_6x6__74128.jpg,,N,3,,,,,,,,,,,,,,,,"Taro Blended Ice Creme","Big Train Dragonfly Green Tea Blended Frappe Mix, 3.5 lb","Big Train, Blended Ice Coffee,20 Below Chocolate, 20 Below White Chocolate, Caramel Latte, Chocolate Malt, Chocolate Mint, Chocolate Peanut Butter, Coffee, Cookies n Cream, Decaf Mocha, Decaf Vanilla, Espresso, Heath Mocha, Java Chip, Kona Mocha, Mocha, No Sugar Added Mocha, Vanilla Latte, White Chocolate","Try the Big Train Dragonfly Green Tea Blended Creme Frappe Mix. See our selection of Big Train products at La Costa Gourmet and have them delivered direct.",,,,New,N,N,,N,,,0,"Default Tax Class",642628014559,N,/big-train-dragonfly-green-tea-blended-creme-frappe-mix-five-3-5-lb-bags/,,,20501787,,
Product,827,"Big Train Dragonfly Mango Blended Creme Frappe Mix Five 3.5 lb. Bags",P,20501784,,"Big Train",,Right,"<p><span>We source the finest ingredients and carefully blend them for gourmet flavor that will transport you with every sultry sip! Sweet mango juice and mango puree take center stage in our creamy base that delivers smooth, consistent texture. Pair it with banana, berries or chocolate for a twist on one of nature's most popular fruits. For an indulgent creamy finish, top with a dollop of whipped cream. Serve hot, iced, or blended</span><br /><br /></p>",152.40,0.00,0.00,0.00,0.0000,N,,19.0000,0.0000,0.0000,0.0000,Y,Y,"Usually Ships in 1 to 2 Business Days",none,0,0,"Brand Names/Big Train;Frappe Mixes;Frappe Mixes/Big Train Coffee Free Frappe Power",3224,k/997/Mango_Front__96453.jpg,"We source the finest ingredients and carefully blend them for gourmet flavor that will transport you with every sultry sip! Sweet mango juice and mango puree take center stage in our creamy base that delivers smooth, consistent texture. Pair it with banana, berries or chocolate for a twist on one of nature's most popular fruits. For an indulgent creamy finish, top with a dollop of whipped cream. Serve hot, iced, or blended",Y,0,3225,g/295/Mango_Back__55757.jpg,,N,1,2428,f/653/BT.656112-3__78854.jpg,"Ingredients: Sugar, Coconut Oil, Natural and Artificial Flavors, Corn Syrup Solids, Fructose, Mango Juice Concentrate and Puree Powder, Citric Acid, Sodium Caseinate (a milk derivative), Guar Gum, Xanthan Gum, Silicon Dioxide (anticaking agent), Sodium Citrate, Dipotassium Phosphate, Mono- and Diglycerides, Propylene Glycol Esters of Fatty Acids, Ascorbic Acid, Carrageenan Gum, Salt, Soy Lecithin, Annatto Extract",N,2,2687,g/021/Dragonfly_Mango_6x6__32145.jpg,,N,3,,,,,,,,,,,,,,,,,"Big Train Dragonfly Mango Creme Frappe Mix 3.5 lb Bag","Big Train, Blended Ice Coffee,20 Below Chocolate, 20 Below White Chocolate, Caramel Latte, Chocolate Malt, Chocolate Mint, Chocolate Peanut Butter, Coffee, Cookies n Cream, Decaf Mocha, Decaf Vanilla, Espresso, Heath Mocha, Java Chip, Kona Mocha, Mocha, No Sugar Added Mocha, Vanilla Latte, White Chocolate","Experience the Big Train Dragonfly Mango Blended Creme Frappe Mix. Big Train, has been driving the flavor revolution for 20 years. Award winning beverage mixes.",,,,New,N,N,,N,,,0,"Default Tax Class",642628014528,N,/big-train-dragonfly-mango-blended-creme-frappe-mix-five-3-5-lb-bags/,,,20501784,,
Product,828,"Big Train VIVAZ Horchata Mexican Inspired Drink Mix Five 3.5 lb. Bags",P,20501780,,"Big Train",,Right,"<p><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;"">Big Train's Horchata VIVAZ a delicious beverage inspired by traditional Mexican recipes. VIVAZ derived from the Spanish word for ""vivacious,"" is a lively take on traditional drinks but with a Big Train twist.</span></p>",152.40,0.00,0.00,0.00,0.0000,N,,19.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Brand Names/Big Train;Frappe Mixes;Frappe Mixes/Big Train Coffee Free Frappe Power",3256,z/538/Horchata_Front__93221.jpg,"Big Train Vivaz Horchata Blended Crème Frappe Mix has quickly become one of our top flavors! Our creamy VIVAZ (pronounced ""vee-vaz"") Horchata base starts with nonfat milk and real sugar. We add rice flour for a traditional horchata experience and texture, then sprinkle it with cinnamon and other natural flavors. Enjoy our delicious horchata mix on its own, or top with whipped cream for an indulgent finish. Our VIVAZ Horchata Drink Mix is full of rich flavor and is caffeine-free. Serve hot, iced, or blended.",Y,0,3257,c/220/Horchata_Back__92916.jpg,,N,1,3258,q/672/Horchata_Nutritional__54557.jpg,"Ingredients: Sugar, Coconut Oil, Nonfat Dry Milk, Corn Syrup Solids, Rice Flour, Sodium Caseinate (a milk derivative), Natural and Artificial Flavors, Cinnamon, Salt, Dipotassium Phosphate, Silicon Dioxide (anti-caking agent), Propylene Glycol Esters of Fatty Acids, Mono- and Diglycerides, Soy Lecithin, Carrageenan, Annatto Extract ",N,2,2972,y/257/BT_Poster-Horchata__50447.jpg,,N,3,2411,y/094/BT.655114-4__85165.jpg,,N,4,2685,d/488/Horchata_6x6__19279.jpg,,N,5,,,,,,,"Big Train VIVAZ Horchata Mexican Inspired Mix 3.5 lb Bag","Big Train,Horchata,Mexican","Taste the Big Train VIVAZ Horchata Mexican Inspired Drink Mix. Big Train, has been driving the flavor revolution for 20 years. See them at La Costa Gourmet.",,,,New,N,N,,N,,,0,"Default Tax Class",642628017963,N,/big-train-vivaz-horchata-mexican-inspired-drink-mix-five-3-5-lb-bags/,,,20501780,,
Product,829," Big Train 20 Below Frozen Hot Chocolate  Beverage Mix Five 3.5 lb. Bags",P,20501776,,"Big Train",,Right,"<p><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;"">Prepare your taste buds for a chocolate avalanche of creamy and luxurious taste with Big Train's 20 Below sinfully decadent Frozen Hot Chocolate.&nbsp;<span>Big Train 20 Below Hot Chocolate Drink Mix, Frozen is one of the easiest ways to create the delectable taste of hot chocolate in a velvety frozen dessert frappe. </span></span></p> <p><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;""><span>All you need is water, ice and a blender! This Big Train beverage mix is a blend of rich cocoa and a creamy base. It's the perfect drink to satisfy your chocolate cravings at any time of the day.</span></span></p>",152.40,0.00,0.00,0.00,0.0000,N,,19.0000,0.0000,0.0000,0.0000,Y,Y,,none,0,0,"Brand Names/Big Train;Frappe Mixes;Frappe Mixes/Big Train Frappe Power",3227,o/955/Frozen_Hot_Chocolate_Front__73515.jpg,"Big Train 20 Below Hot Chocolate Drink Mix, Frozen is one of the easiest ways to create the delectable taste of hot chocolate in a velvety frozen dessert frappe. All you need is water, ice and a blender! This Big Train beverage mix is a blend of rich cocoa and a creamy base. It's the perfect drink to satisfy your chocolate cravings at any time of the day.",Y,0,3228,q/716/Frozen_Hot_Chocolate_Back__84049.jpg,,N,1,2699,q/720/20_Below_Nutritionals_6x6__76320.jpg,"Ingredients: Sugar, Coconut Oil, Corn Syrup Solids, Cocoa Powders (processed with alkali), Nonfat Milk, Sodium Caseinate (a milk derivative), Natural and Artificial Flavors, Caramel Color, Salt, Silicon Dioxide (anti-caking agent), Dipotassium Phosphate, Propylene Glycol Esters of Fatty Acids, Mono- and Diglycerides, Carrageenan, Soy Lecithin, Guar Gum, Xanthan Gum, Annatto Extract ",N,2,2969,f/362/BT_Poster-Frozen_Hot_Chocolate__73329.jpg,,N,3,2698,h/701/BELGN_WEB__89495.jpg,,N,4,2697,p/289/20_Below_6x6__38569.jpg,"Prepare your taste buds for a chocolate avalanche of creamy and luxurious taste with Big Train's 20° Below sinfully decadent Frozen Hot Chocolate. ",N,5,,,,,,,"Big Train 20 Below Frozen Hot Chocolate 3.5 Lb. Bag","Big Train,coffee-free,frappe","Award winning Chia Teas, Blended Ice Coffee, Cocoa, and more. Check out the Big Train 20 Below Frozen Hot Chocolate.  Shop today at La Costa Gourmet.",,,,New,N,N,,N,,,0,"Default Tax Class",642628007018,N,/big-train-20-below-frozen-hot-chocolate-beverage-mix-five-3-5-lb-bags/,,,20501776,,
Product,831,"Big Train Vanilla Latte Blended Ice Coffee Beverage Mix Five 3.5 lb. Bags",P,20501755,,"Big Train",,Right,"<p><span>Invigorate your senses and enjoy the sweet vanilla indulgence of Big Train's classic Vanilla Latte Blended Ice Coffee mix, perfect for coffee lovers who like a little bit of sweet and rich vanilla flavor. Our sweet, creamy drink mix refreshes with aromatic, full-bodied Arabica coffee and the exotic yet familiar flavor of Madagascar vanilla bean. Serve hot, iced, or blended.</span></p>",152.40,0.00,0.00,0.00,0.0000,N,,19.0000,0.0000,0.0000,0.0000,Y,Y,"Usually Ships in 1 to 2 Business Days",none,0,0,"Brand Names/Big Train;Frappe Mixes;Frappe Mixes/Big Train Frappe Power",3146,j/410/New_Vanilla_Latte_Front__04108.jpg,"Invigorate your senses and enjoy the sweet vanilla indulgence of Big Train's classic Vanilla Latte Blended Ice Coffee mix, perfect for coffee lovers who like a little bit of sweet and rich vanilla flavor. Our sweet, creamy drink mix refreshes with aromatic, full-bodied Arabica coffee and the exotic yet familiar flavor of Madagascar vanilla bean. Serve hot, iced, or blended.",Y,0,3147,d/383/Vanilla_Latte_Back__50582.jpg,,N,1,2674,m/932/Vanilla-Latte-Bag_LG__84858.jpg,"Invigorate your senses and enjoy the sweet vanilla indulgence of Big Train's classic Vanilla Latte Blended Ice Coffee mix, perfect for coffee lovers who like a little bit of sweet and rich vanilla flavor. Our sweet, creamy drink mix refreshes with aromatic, full-bodied Arabica coffee and the exotic yet familiar flavor of Madagascar vanilla bean. Serve hot, iced, or blended.",N,2,2385,d/340/BT.640820-3__53416.jpg,"Ingredients: Sugar, Coconut Oil, Corn Syrup Solids, Nonfat Milk, Coffee, Natural and Artificial Flavors, Maltodextrin, Sodium Caseinate (a milk derivative), Silicon Dioxide (anti-caking agent), Salt, Dipotassium Phosphate, Propylene Glycol Esters of Fatty Acids, Mono- and Diglycerides, Carrageenan, Soy Lecithin, Guar Gum, Xanthan Gum, Annatto Extract (for color).",N,3,2799,j/242/BIC_Can_Be_Served__06717.PNG,,N,4,,,,,,,,,,,"Big Train,Vanilla Latte,Blended, Ice,Coffee","Big Train Vanilla Latte Blended Ice Coffee, 3.5 lb. Bag","Big Train, Blended Ice Coffee,20 Below Chocolate, 20 Below White Chocolate, Caramel Latte, Chocolate Malt, Chocolate Mint, Chocolate Peanut Butter, Coffee, Cookies n Cream, Decaf Mocha, Decaf Vanilla, Espresso, Heath Mocha, Java Chip, Kona Mocha, Mocha, No Sugar Added Mocha, Vanilla Latte, White Chocolate","Award winning Vanilla Lattes Chia Teas, Blended Ice Coffee, Cocoa and the newest category of Protein Powers are brought to you by Big Train at La Costa Gourmet",,,,New,N,N,,N,,,0,"Default Tax Class",10642628035025,N,/big-train-vanilla-latte-blended-ice-coffee-beverage-mix-five-3-5-lb-bags/,,,20501755,,
Product,832,"Big Train Reduced Sugar Mocha Blended Ice Coffee Beverage Mix Five 3.5 lb. Bags",P,20501770,,"Big Train",,Right,"<p><span>Like our original Big Train No Sugar Added Mocha Blended Ice Coffee Frappe Mix, this rich-tasting, no-sugar-added version delivers creamy, consistent texture. Hot or iced, this NSA mocha mix is sure to please coffee lovers in search of something a little different. For a sweet twist, customize with add-ins like flavored sugar-free syrups. Our No Sugar Added Mocha Blended Ice Coffee Mix is full of rich chocolate flavor and contains no added sugars (not a low-calorie food), hydrogenated oils or trans fats. Serve, hot, iced, or blended.</span></p>",152.40,0.00,0.00,0.00,0.0000,N,,19.0000,0.0000,0.0000,0.0000,Y,Y,"Usually Ships in 1 to 2 Business Days",none,0,0,"Brand Names/Big Train;Frappe Mixes;Frappe Mixes/Big Train Frappe Power",3141,q/729/BT_BIC_NSA_Mocha_F__45492.jpg,"Like our original Big Train Mocha Blended Ice Coffee Frappe Mix, this rich-tasting, no-sugar-added version delivers creamy, consistent texture. Hot or iced, this NSA mocha mix is sure to please coffee lovers in search of something a little different. For a sweet twist, customize with add-ins like flavored sugar-free syrups. Our No Sugar Added Mocha Blended Ice Coffee Mix is full of rich chocolate flavor and contains no added sugars (not a low-calorie food), hydrogenated oils or trans fats. Serve, hot, iced, or blended.",Y,0,3142,v/475/BT_BIC_NSA_Mocha_B_2__12898.jpg,"Reduced Sugar Mocha Blended Ice Coffee frappe mix from Big Train seems too good to be true. Get all the chocolate coffee taste without the guilt. In addition to being gluten free, Big Train's Reduced SugarMocha Blended Ice Coffee contains no trans-fat, no hydrogenated oils and is Kosher and Halal Certified.",N,1,3152,h/373/No_Sugar_Added_Mocha_Nutritional__91640.jpg,"New Reduced Sugar Mocha Nutritional information",N,2,3153,q/464/No_Sugar_Added_BIC_Mixing_Instructions__48708.jpg,"Mixing instructions",N,3,3143,n/990/NSA_Mocha_BIC__07999.jpg,"Big Train No Sugar Added Mocha Blended Ice Coffee Beverage Mix ",N,4,,,,,,,,,,,,"Big Train Reduced Sugar Mocha Blended Ice Coffee Mix 3.5 lb","Big Train, Blended Ice Coffee,20 Below Chocolate, 20 Below White Chocolate, Caramel Latte, Chocolate Malt, Chocolate Mint, Chocolate Peanut Butter, Coffee, Cookies n Cream, Decaf Mocha, Decaf Vanilla, Espresso, Heath Mocha, Java Chip, Kona Mocha, Mocha, No Sugar Added Mocha, Vanilla Latte, White Chocolate","See our selection of Blended Ice Coffee, Cocoa and the newest category of Protein Powers. Big Train, has been driving the flavor revolution for 20 years.",,,,New,N,N,,N,,,0,"Default Tax Class",642628035127,N,/big-train-reduced-sugar-mocha-blended-ice-coffee-beverage-mix-five-3-5-lb-bags/,,10642628035124,20501770,,
Product,833,"Big Train Reduced Sugar Vanilla Latte Blended Ice Coffee Beverage Mix Five 3.5 lb. Bags",P,20501771,,"Big Train",,Right,"<p><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;"">NSA Vanilla Latte Blended Ice Coffee frappe mix from Big Train only seems too good to be true. Get all the rich, creamy vanilla latte coffee taste without the guilt. </span><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;""><br /></span><br /> <a href=""https://lacostagourmet.com/v/vspfiles/templates/210/images/nutritional_btblendedicecoffee.pdf"" target=""_blank"">View Nutritional Facts</a></p>",152.40,0.00,0.00,0.00,0.0000,N,,19.0000,0.0000,0.0000,0.0000,Y,Y,"Usually Ships in 1 to 2 Business Days",none,0,0,"Brand Names/Big Train;Frappe Mixes;Frappe Mixes/Big Train Frappe Power",3317,f/326/Reduced_Sugar_Vanilla_BIC__56303.jpg,"NSA Vanilla Latte Blended Ice Coffee frappe mix from Big Train only seems too good to be true. Get all the rich, creamy vanilla latte coffee taste without the guilt.",Y,0,3318,h/457/NSA_Vanilla_BIC_Back__79252.jpg,,N,1,2378,p/980/BT.612820-3__47025.jpg,,N,2,,,,,,,,,,,,,,,,,,,,,,"Big Train Reduced Sugar Vanilla Latte Blended Ice Coffee 3.5lb Bag","Big Train, Blended Ice Coffee,20 Below Chocolate, 20 Below White Chocolate, Caramel Latte, Chocolate Malt, Chocolate Mint, Chocolate Peanut Butter, Coffee, Cookies n Cream, Decaf Mocha, Decaf Vanilla, Espresso, Heath Mocha, Java Chip, Kona Mocha, Mocha, No Sugar Added Mocha, Vanilla Latte, White Chocolate","Taste the exceptional flavor of Big Train Vanilla Latte with No Sugar Added. Award winning Chia Teas, Blended Ice Coffee, Cocoa and more. Shop Big Tain Online.",,,,New,N,N,,N,,,0,"Default Tax Class",642628035165,N,/big-train-reduced-sugar-vanilla-latte-blended-ice-coffee-beverage-mix-five-3-5-lb-bags/,,10642628035162,20501771,,
Product,834,"Big Train Java Chip Blended Ice Coffee Beverage Mix Five 3.5 lb. Bags",P,20501766,,"Big Train",,Right,"<p><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;"">it back, relax and experience the velvety texture of our Java Chip Blended Ice Coffee. This incredibly popular beverage has captivated coffee lovers all over the world with our artfully blended mix of Arabica coffee and the finest ingredients. </span><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;""> G</span><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;"">luten free, contains no trans-fat, no hydrogenated oils and is Kosher and Halal Certified.</span><br /><br /></p>",152.40,0.00,0.00,0.00,0.0000,N,,19.0000,0.0000,0.0000,0.0000,Y,Y,"Usually Ships in 1 to 2 Business Days",none,0,0,"Brand Names/Big Train;Frappe Mixes;Frappe Mixes/Big Train Frappe Power",3241,p/390/Java_Chip_Front__76984.jpg,"Big Train Java Chip Blended Ice Coffee Frappe Mix is one of the easiest ways to satisfy your craving for a caffeinated iced coffee frappe with a hint of real chocolate chunks. All that’s needed is water, ice and a blender! This Big Train blended coffee beverage mix is a blend of the finest ingredients like Arabica coffee and a signature creamy base. It's the perfect morning or afternoon pick-me-up. Serve hot, iced or blended with ice for a delicious Big Train frappe.",Y,0,3242,d/587/Java_Chip_Back__40767.jpg,,N,1,3243,j/732/Java_Chip_Nutritionals__93166.jpg,"Ingredients: Sugar, Semisweet Chocolate Chips (Sugar, Unsweetened Chocolate, Cocoa Butter, Soy Lecithin, Vanilla), Coconut Oil, Corn Syrup Solids, Nonfat Milk, Cocoa Powder (processed with alkali), Coffee, Sodium Caseinate (a milk derivative), Natural and Artificial Flavors, Chicory, Silicon Dioxide (anti-caking agent), Salt, Carrageenan, Dipotassium Phosphate, Propylene Glycol Esters of Fatty Acids, Mono- and Diglycerides, Soy Lecithin, Guar Gum, Xanthan Gum, Annatto Extract (for color).",N,2,,,,,,,,,,,,,,,,,,,,,,"Big Train Java Chip Blended Ice Coffee, 3.5 lb. Bag","Big Train, Blended Ice Coffee,20 Below Chocolate, 20 Below White Chocolate, Caramel Latte, Chocolate Malt, Chocolate Mint, Chocolate Peanut Butter, Coffee, Cookies n Cream, Decaf Mocha, Decaf Vanilla, Espresso, Heath Mocha, Java Chip, Kona Mocha, Mocha, No Sugar Added Mocha, Vanilla Latte, White Chocolate","Big Train Java Chip Blended Ice Coffee, 3.5 lb. Bag is filled with flavor. See the latest award winning Chia Teas, Blended Ice Coffee, Cocoa and mixes.",,,,New,N,N,,N,,,0,"Default Tax Class",642628006728,N,/big-train-java-chip-blended-ice-coffee-beverage-mix-five-3-5-lb-bags/,,10642628006728,20501766,,
Product,835,"Big Train Mocha Blended Ice Coffee Beverage Five 3.5 lb. Bags",P,20501752,,"Big Train",,Right,"<p><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;"">Mocha Blended Ice Coffee frappe mix from Big Train is one of our best selling products. This incredibly popular beverage has captivated coffee lovers all over the world with our artfully blended mix of rich chocolate and Arabica coffee.</span></p>",152.40,0.00,0.00,0.00,0.0000,N,,19.0000,0.0000,0.0000,0.0000,Y,Y,"Usually Ships in 1 to 2 Business Days",none,0,0,"Brand Names/Big Train;Frappe Mixes;Frappe Mixes/Big Train Frappe Power",3176,y/338/Mocha_Front__91516.jpg,"Take iced coffee to the next level with Big Train Mocha Blended Ice Coffee Mix. Sourced from the highest-quality ingredients, our mocha frappe mix has big chocolate taste and a coffee caffeine boost. The silky, smooth mocha mix delivers a full-bodied taste and consistent texture every time. Add a dollop of whipped cream or a splash of cream to craft your own signature beverage. Indulge in rich cocoa and smooth coffee with Big Train Mocha Blended Ice Coffee Mix. Try it hot, iced, or blended.",Y,0,3177,f/109/Mocha_Back__29944.jpg,,N,1,3178,q/383/Mocha_Nutritional__36362.jpg,"Ingredients: Sugar, Coconut Oil, Corn Syrup Solids, Nonfat Milk, Cocoa Powder (processed with alkali), Coffee, Sodium Caseinate (a milk derivative), Natural and Artificial Flavors, Silicon Dioxide (anti-caking agent), Dipotassium Phosphate, Propylene Glycol Esters of Fatty Acids, Mono- and Diglycerides, Carrageenan Gum, Salt, Soy Lecithin, Guar Gum, Xanthan Gum, Annatto Extract (for color).",N,2,2796,d/187/BIC-Can-Be-Served-225__96320.jpg,,N,3,2797,q/563/BT-mocha-drink-225__40430.jpg,https://www.kerryfoodservice.com/products/big-train-caramel-latte-blended-ice-coffee-beverage-mix-bt-610875,N,4,,,,,,,,,,,"Big Train,Mocha,Blended Ice Coffee,Frappe,Best Seller","Big Train Mocha Blended Ice Coffee, 3.5 lb. Bag","Big Train, Blended Ice Coffee,20 Below Chocolate, 20 Below White Chocolate, Caramel Latte, Chocolate Malt, Chocolate Mint, Chocolate Peanut Butter, Coffee, Cookies n Cream, Decaf Mocha, Decaf Vanilla, Espresso, Heath Mocha, Java Chip, Kona Mocha, Mocha, No Sugar Added Mocha, Vanilla Latte, White Chocolate","Shop Big Tain Online.  Big Train Mocha Blended Ice Coffee, 3.5 lb. Bag is perfect for stocking up homes or businesses. Shop today at La Costa Gourmet.",,,,New,N,N,,N,,,0,"Default Tax Class",642628035018,N,/big-train-mocha-blended-ice-coffee-beverage-five-3-5-lb-bags/,,10642628035018,20501752,,
Product,845,"Big Train Chocolate Chai Tea Latte Four 3.5 Lb. Bags",P,20501728,,"Big Train",,Right,"<p><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;"">Taste the drink that has been savored for centuries in India and refresh your body and soul with the creamy blend of honey, Dutch Chocolate, black tea and exotic spices.</span></p>",145.95,0.00,0.00,0.00,0.0000,N,,16.0000,0.0000,0.0000,0.0000,Y,Y,"Usually Ships in 1 to 2 Business Days",none,0,0,"Brand Names/Big Train;Teas;Teas/Big Train Chai Tea",3164,s/186/Chocolate_Chai_Front__92541.jpg,"Big Train Chocolate Chai Tea Latte Mix is made with a blend of honey, Dutch chocolate, black tea and exotic spices making the perfect chai tea latte in an instant. Breathe deep, take a sip, and let our Chocolate Chai Tea Latte Mix transport your taste buds to unforgettable adventure! Enjoy our chocolate chai tea latte mix on its own, or add whipped cream for an indulgent finish. Serve it hot, iced, or blended.",Y,0,3165,r/052/Chocolate_Chai_Back__57146.jpg,,N,1,2582,o/137/BT.510700-3__21021.jpg,,N,2,2576,v/601/BT.510700-2__03005.jpg,,N,3,2586,p/473/BT.510700-4__32911.jpg,,N,4,2589,q/218/BT.510700-5__04039.jpg,,N,5,,,,,,"Big Train,Chocolate,Chai,Latte","Big Train Chocolate Chai Tea Latte Mix 3.5 lb Bulk Bag","Big Train Chocolate Chai","Big Train Chocolate Chai Tea Latte Mix has bold rich flavors. Great for or stocking up homes or businesses with La Costa Gourmet.",,,,New,N,N,,N,,,0,"Default Tax Class",642628103567,N,/big-train-chocolate-chai-tea-latte-four-3-5-lb-bags/,,,20501728,,
