Item,ID,Name,Type,SKU,Options,"Inventory Tracking","Current Stock","Low Stock",Price,"Cost Price","Retail Price","Sale Price","Brand ID",Channels,Categories,Description,"Custom Fields","Page Title","Product URL","Meta Description","Search Keywords","Meta Keywords","Bin Picking Number",UPC/EAN,"Global Trade Number","Manufacturer Part Number","Free Shipping","Fixed Shipping Cost",Weight,Width,Height,Depth,"Is Visible","Is Featured",Warranty,"Tax Class","Product Condition","Show Product Condition","Sort Order","Variant Image URL","Internal Image URL (Export)","Image URL (Import)","Image Description","Image is Thumbnail","Image Sort Order","YouTube ID","Video Title","Video Description","Video Sort Order"
Product,826,"Big Train Dragonfly Green Tea Blended Creme Frappe Mix Five 3.5 lb. Bags",physical,20501787,,none,0,0,152.40,0.00,0.00,0.00,39,1,350;263,"<p><span style=""color: #666666; font-family: Tahoma, Arial, Helvetica, sans-serif;""><span>This Big Train beverage mix uses the finest ingredients, including green tea flavoring, in a creamy base that ensures smooth, consistent texture. For an indulgent creamy finish, top with a dollop of whipped cream. This blended mix from Big Train will surely be popular among even the most discerning of green tea lovers!&nbsp;</span></span><br /><br /></p>",,"Big Train Dragonfly Green Tea Blended Frappe Mix, 3.5 lb",/big-train-dragonfly-green-tea-blended-creme-frappe-mix-five-3-5-lb-bags/,"Try the Big Train Dragonfly Green Tea Blended Creme Frappe Mix. See our selection of Big Train products at La Costa Gourmet and have them delivered direct.","Taro Blended Ice Creme","Big Train; Blended Ice Coffee;20 Below Chocolate; 20 Below White Chocolate; Caramel Latte; Chocolate Malt; Chocolate Mint; Chocolate Peanut Butter; Coffee; Cookies n Cream; Decaf Mocha; Decaf Vanilla; Espresso; Heath Mocha; Java Chip; Kona Mocha; Mocha; No Sugar Added Mocha; Vanilla Latte; White Chocolate",,642628014559,,20501787,FALSE,0.00,19.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-u3ny6186xw/products/826/images/2437/BT.656115-3__82329.1595714058.350.350.jpg?c=2,,"Ingredients: Sugar, Coconut Oil, Corn Syrup Solids, Nonfat Milk, Maltodextrin, Green Tea, Sodium Caseinate (a milk derivative), Natural and Artificial Flavor, Sodium Citrate, Mono- and Diglycerides, Salt, Silicon Dioxide (anti-caking agent), Carrageenan, Guar Gum, Xanthan Gum, Sodium Aluminosilicate (anti-caking agent), Yellow #5, Blue #1.",FALSE,2,,,,
Image,2688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-u3ny6186xw/products/826/images/2688/Dragonfly_Green_Tea_6x6__74128.1595714072.350.350.jpg?c=2,,,FALSE,3,,,,
Image,3213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-u3ny6186xw/products/826/images/3213/Green_Tea_Front__05567.1710881102.350.350.jpg?c=2,,"You will be a fan of Big Train’s Green Tea Blended Crème Frappe Mix after your first sip. This Big Train beverage mix uses the finest ingredients, including green tea flavoring, in a creamy base that ensures smooth, consistent texture. For an indulgent creamy finish, top with a dollop of whipped cream. This blended mix from Big Train will surely be popular among even the most discerning of green tea lovers! Serve hot, iced, or blended.",TRUE,0,,,,
Image,3215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-u3ny6186xw/products/826/images/3215/Green_Tea_Back__63078.1710881102.350.350.jpg?c=2,,,FALSE,1,,,,
Product,827,"Big Train Dragonfly Mango Blended Creme Frappe Mix Five 3.5 lb. Bags",physical,20501784,,none,0,0,152.40,0.00,0.00,0.00,39,1,335;350;263,"<p><span>We source the finest ingredients and carefully blend them for gourmet flavor that will transport you with every sultry sip! Sweet mango juice and mango puree take center stage in our creamy base that delivers smooth, consistent texture. Pair it with banana, berries or chocolate for a twist on one of nature's most popular fruits. For an indulgent creamy finish, top with a dollop of whipped cream. Serve hot, iced, or blended</span><br /><br /></p>",,"Big Train Dragonfly Mango Creme Frappe Mix 3.5 lb Bag",/big-train-dragonfly-mango-blended-creme-frappe-mix-five-3-5-lb-bags/,"Experience the Big Train Dragonfly Mango Blended Creme Frappe Mix. Big Train, has been driving the flavor revolution for 20 years. Award winning beverage mixes.",,"Big Train; Blended Ice Coffee;20 Below Chocolate; 20 Below White Chocolate; Caramel Latte; Chocolate Malt; Chocolate Mint; Chocolate Peanut Butter; Coffee; Cookies n Cream; Decaf Mocha; Decaf Vanilla; Espresso; Heath Mocha; Java Chip; Kona Mocha; Mocha; No Sugar Added Mocha; Vanilla Latte; White Chocolate",,642628014528,,20501784,FALSE,0.00,19.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,2428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-u3ny6186xw/products/827/images/2428/BT.656112-3__78854.1595716521.350.350.jpg?c=2,,"Ingredients: Sugar, Coconut Oil, Natural and Artificial Flavors, Corn Syrup Solids, Fructose, Mango Juice Concentrate and Puree Powder, Citric Acid, Sodium Caseinate (a milk derivative), Guar Gum, Xanthan Gum, Silicon Dioxide (anticaking agent), Sodium Citrate, Dipotassium Phosphate, Mono- and Diglycerides, Propylene Glycol Esters of Fatty Acids, Ascorbic Acid, Carrageenan Gum, Salt, Soy Lecithin, Annatto Extract",FALSE,2,,,,
Image,2687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-u3ny6186xw/products/827/images/2687/Dragonfly_Mango_6x6__32145.1595716478.350.350.jpg?c=2,,,FALSE,3,,,,
Image,3224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-u3ny6186xw/products/827/images/3224/Mango_Front__96453.1595716473.350.350.jpg?c=2,,"We source the finest ingredients and carefully blend them for gourmet flavor that will transport you with every sultry sip! Sweet mango juice and mango puree take center stage in our creamy base that delivers smooth, consistent texture. Pair it with banana, berries or chocolate for a twist on one of nature's most popular fruits. For an indulgent creamy finish, top with a dollop of whipped cream. Serve hot, iced, or blended",TRUE,0,,,,
Image,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-u3ny6186xw/products/827/images/3225/Mango_Back__55757.1595716372.350.350.jpg?c=2,,,FALSE,1,,,,
